zinc_id,smiles
ZINC000002037700,C/C=C/C(=O)CCC
ZINC000102314372,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)[C@](C)(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C2=O
ZINC000230069018,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC
ZINC000040977348,CC[C@H](O)C1=C(CO)C(OC)=C[C@H](O)O1
ZINC000014489893,C=C(C(=O)OCCCC)[C@H](C)O
ZINC000150357403,CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC
ZINC000085562834,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](CO[P@@](=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC
ZINC000096888407,CC(C)[C@H]1C=C[C@]2(C)Oc3c(C(=O)/C=C/c4ccccc4)c(O)cc(O)c3[C@@H]2C1
ZINC000084614488,COC(=O)[C@]1(O)[C@@H](O)[C@H](C)[C@H]2Oc3cccc(O)c3C(=O)[C@@H]21
ZINC000095624096,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCC
ZINC000004212990,C[C@@H]1CC[C@@H](C)[N+]1(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
ZINC000085587106,CCCC/C=C\CCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCC/C=C\CCCCCC)CO[P@@](=O)(O)OCCN
ZINC000150362098,CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCCCC
ZINC000005762351,COc1c2c(cc3oc(=O)c4c5ccc(O)cc5oc4c13)OC(C)(C)CC2
